Studentnumber,Sex,School,Condition,Vocabulary,Wordchain,SumExpositoryTxt,SumNarrativeTxt,TotalSum_Readingcompr,ControlsumNarrativeTxt,ControlsumExpositoryTxt,Controlsum,Gaven2Mc,Gaven3Mc,Gaven4Mc,Gaven5Cr,Gaven6Cr,Gaven7Cr,Gaven8Cr,Gaven9Cr,Gaven10Mc,Gaven11Cr,Gaven12Cr,SH1Mc,SH3Mc,SH4Mc,SH5Mc,SH6Mc,SH10Mc,SH11Mc,SH12Mc,SH13Mc,SH15Mc,SH16Mc,SH17Mc,SH18Mc,SH19Mc,SH20Mc,SH21Mc,SH22Mc,SH24Cr,SH25Mc,SH26Mc,SH27Mc,Antarktis1,Antarktis2,Antarktis3,Antarktis4,Antarktis5,Antarktis6,Antarktis7,Antarktis8,Antarktis9,Antarktis10,Antarktis11,Antarktis12,Antarktis13,Antarktis14,Antarktis15,Antarktis16,Antarktis17,Antarktis18,Antarktis19,Coriander1,Coriander2,Coriander3,Coriander4,Coriander5,Coriander6,Coriander7,Coriander8,Coriander9,Coriander10,Coriander11,Coriander12,Coriander13,Coriander14,Coriander15,Spørsmål1,Spørsmål2,Spørsmål3,Spørsmål4,Spørsmål5,Spørsmål6,Spørsmål7,pgaven2Mc,pgaven3Mc,pgaven4Mc,pgaven5Cr,pgaven6cr,pgaven7Cr,pgaven8Cr,pgaven9Cr,pgaven10Mc,pgaven11cr,pgaven12Cr,X.1Score,X.2Score,X.3Score,X.4Score,X.5Score,X.6Score,X.7Score,X.8Score,X.9Score,X.10Score,X.11Score,X.12Score,X.13Score,X.14Score,X.15Score,X.16Score,X.17Score,X.18Score,X.19Score,X.20Score,X.21Score,X.22Score,X.23Score,X.24Score,X.25Score,X.26Score,X.27Score,X.28Score,X.29Score,X.30Score,X.31Score,X.32Score,X.33Score,X.34Score,pSH1,pSH3Mc,pSH4Mc,pSH5Mc,pSH6Mc,pSH10Mc,pSH11Mc,pSH12Mc,pSH13Mc,pSH15Mc,pSH16Mc,pSH17Mc,pSH18Mc,pSH19Mc,pSH20Mc,pSH21Mc,pSH22Mc,pSH24Cr,pSH25Mc,pSH26Mc,pSH27Mc,Paper_Paper,Paper_Computer,Computer_Computer
2602142,boy,1,paper,18,53,16,15,31,9,15,24,4,1,2,1,0,2,0,1,1,1,1,3,2,1,2,2,4,1,2,3,3,2,3,4,4,3,3,3,9,9,9,9,4,4,2,4,3,3,3,1,4,4,1,2,3,1,2,1,4,1,4,3,2,2,2,3,8,1,2,3,2,1,4,1,3,4,1,1,0,1,1,0,9,1,1,1,1,0,2,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0
2602145,boy,1,paper,18,53,17,11,28,9,16,25,4,1,2,1,0,2,0,1,3,1,0,3,2,1,2,2,2,4,2,2,3,2,3,1,4,3,3,2,2,2,3,2,4,4,2,4,3,1,3,1,4,2,1,2,3,1,2,3,4,1,4,3,2,2,2,3,8,1,4,1,2,4,4,2,3,4,1,1,0,1,1,0,0,1,1,1,1,0,2,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0
2602158,boy,1,paper,23,53,17,15,32,10,15,25,4,1,2,1,9,2,1,0,3,0,2,3,2,1,2,2,2,4,2,2,3,2,3,4,4,3,8,9,2,3,3,2,4,4,2,4,3,1,3,1,4,4,1,2,3,2,2,3,4,1,4,3,2,2,2,3,8,1,2,3,2,1,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,2,1,0,1,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0
2602177,boy,1,paper,10,50,13,10,23,7,2,9,4,1,2,1,9,1,0,1,2,1,0,1,4,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,4,3,3,3,4,4,3,1,2,3,4,2,4,4,1,4,3,2,2,2,4,8,2,2,1,2,1,4,1,3,2,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2602261,boy,2,paper,22,52,18,13,31,6,13,19,4,1,3,1,9,2,0,0,3,9,9,3,2,1,2,2,1,4,2,2,3,2,3,2,4,3,1,1,9,1,2,1,4,4,1,4,3,1,3,1,4,4,1,2,3,1,2,3,4,1,4,3,2,4,2,3,8,1,2,3,2,1,4,1,2,4,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,2,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0
2602282,boy,2,paper,16,51,17,7,24,6,16,22,4,1,2,9,9,9,9,1,3,1,9,3,4,1,2,2,3,4,2,2,3,2,4,1,4,3,3,3,2,3,3,2,4,4,1,4,3,1,3,1,4,3,1,2,3,1,2,3,4,1,4,3,2,2,1,1,8,2,1,3,2,2,1,3,3,2,1,1,0,1,0,0,9,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0
2602286,boy,2,paper,21,35,12,8,20,5,10,15,4,2,2,1,0,1,0,0,3,0,0,2,4,1,2,3,4,1,1,4,3,1,4,1,4,1,1,1,2,3,3,2,4,4,3,4,1,2,3,1,4,4,1,2,3,1,4,4,3,4,4,2,4,3,1,2,8,1,2,3,2,1,2,1,3,4,1,1,5,4,1,0,9,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0
2602287,boy,2,paper,17,42,17,11,28,3,12,15,4,1,2,9,9,9,9,9,9,9,9,1,2,1,2,2,3,1,2,2,3,2,9,1,8,3,9,3,9,9,9,9,4,4,4,4,3,1,3,1,4,3,1,2,3,4,2,3,4,1,4,3,4,1,2,3,8,1,4,3,2,1,4,1,3,3,1,1,0,0,1,0,9,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0
2602138,girl,1,paper,18,51,16,14,30,7,7,14,4,1,2,1,9,2,1,0,4,0,0,3,2,1,2,2,9,1,2,9,1,9,9,9,9,9,9,9,9,9,9,9,4,1,2,4,3,1,2,1,4,4,1,2,3,1,2,3,4,1,4,3,2,2,2,3,8,1,2,3,2,1,4,1,1,4,1,1,0,4,1,0,9,1,1,1,1,0,2,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2602156,girl,1,paper,17,47,18,15,33,12,3,15,4,1,3,1,9,2,1,2,3,1,2,1,2,4,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,4,3,1,3,1,4,4,1,2,3,1,2,3,4,1,4,3,2,2,2,3,8,1,2,3,2,1,4,1,3,4,1,1,0,1,1,0,9,1,1,0,1,0,2,1,2,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
